original_file_name	gDNA_%_or_pg	library_type
1PCT_gDNA_at_beginning_RZ2_L7.LB7_2.fastq.gz	1	Ribo_Zero
1PCT_gDNA_at_beginning_RZ3_L7.LB12_1.fastq.gz	1	Ribo_Zero
1PCT_gDNA_at_beginning_RZ3_L7.LB12_2.fastq.gz	1	Ribo_Zero
1_pg_gDNA_after_2nd_strand_1_L4.LB13_1.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_1_L4.LB13_2.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_2_L4.LB14_1.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_2_L4.LB14_2.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_3_L4.LB15_1.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_3_L4.LB15_2.fastq.gz	1pg	Poly_A_Selection
Native_untreated_1_L1.LB2_1.fastq.gz	No_DNase	Poly_A_Selection
Native_untreated_1_L1.LB2_2.fastq.gz	No_DNase	Poly_A_Selection
Native_untreated_2_L1.LB4_1.fastq.gz	No_DNase	Poly_A_Selection
Native_untreated_2_L1.LB4_2.fastq.gz	No_DNase	Poly_A_Selection
Native_untreated_3_L1.LB5_1.fastq.gz	No_DNase	Poly_A_Selection
Native_untreated_3_L1.LB5_2.fastq.gz	No_DNase	Poly_A_Selection
Native_untreated_RZ1_L6.LB13_1.fastq.gz	No_DNase	Ribo_Zero
Native_untreated_RZ1_L6.LB13_2.fastq.gz	No_DNase	Ribo_Zero
Native_untreated_RZ2_L6.LB14_1.fastq.gz	No_DNase	Ribo_Zero
Native_untreated_RZ2_L6.LB14_2.fastq.gz	No_DNase	Ribo_Zero
Native_untreated_RZ3_L6.LB15_1.fastq.gz	No_DNase	Ribo_Zero
Native_untreated_RZ3_L6.LB15_2.fastq.gz	No_DNase	Ribo_Zero
No_gDNA_throughout_1_L3.LB6_1.fastq.gz	0	Poly_A_Selection
No_gDNA_throughout_1_L3.LB6_2.fastq.gz	0	Poly_A_Selection
No_gDNA_throughout_2_L3.LB7_1.fastq.gz	0	Poly_A_Selection
No_gDNA_throughout_2_L3.LB7_2.fastq.gz	0	Poly_A_Selection
No_gDNA_throughout_3_L3.LB12_1.fastq.gz	0	Poly_A_Selection
No_gDNA_throughout_3_L3.LB12_2.fastq.gz	0	Poly_A_Selection
No_gDNA_throughout_RZ1_L8.LB16_1.fastq.gz	0	Ribo_Zero
No_gDNA_throughout_RZ1_L8.LB16_2.fastq.gz	0	Ribo_Zero
No_gDNA_throughout_RZ2_L8.LB18_1.fastq.gz	0	Ribo_Zero
No_gDNA_throughout_RZ2_L8.LB18_2.fastq.gz	0	Ribo_Zero
No_gDNA_throughout_RZ3_L8.LB19_1.fastq.gz	0	Ribo_Zero
No_gDNA_throughout_RZ3_L8.LB19_2.fastq.gz	0	Ribo_Zero
